KO	ph4.txt	ph45.txt	ph5.txt	ph55.txt	ph6.txt	ph65.txt	ph7.txt
K02828	0	0	1	0	0	0	0	K02828
K02830	0	1	0	0	0	0	0	"cell cycle checkpoint protein [EC:3.1.11.2]"
K02834	594	594	1526	1735	3145	2337	1587	K02834
K02835	221	263	646	655	896	576	392	K02835
K02836	200	248	618	635	919	587	399	K02836
K02837	54	62	168	175	291	165	98	K02837
K02838	745	737	1838	2017	3732	2897	1925	K02838
K02839	0	1	5	3	10	6	3	K02839
K02840	2	1	0	0	0	0	0	"UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase [EC:2.4.1.-]"
K02841	59	91	317	321	442	278	188	K02841
K02843	51	79	229	255	369	253	178	K02843
K02844	31	37	112	125	210	121	89	K02844
K02847	56	116	339	356	491	342	228	K02847
K02848	0	0	1	1	5	4	1	K02848
K02849	12	19	53	49	90	65	46	K02849
K02851	163	230	599	556	928	583	383	K02851
K02856	40	50	131	119	92	34	29	K02856
K02858	59	71	156	130	205	143	100	K02858
K02859	0	1	3	0	1	0	0	K02859
K02860	596	571	1433	1580	2970	2208	1432	K02860
K02862	52	65	141	133	186	123	99	K02862
K02863	699	592	1444	1643	2769	2206	1467	K02863
K02864	630	645	1505	1744	3024	2317	1644	K02864
K02866	1	1	4	2	1	0	0	K02866
K02867	578	561	1362	1513	2560	1979	1436	K02867
K02868	0	1	2	0	0	0	0	K02868
K02869	3	1	1	0	0	0	2	K02869
K02870	0	0	1	0	0	0	0	K02870
K02871	595	588	1474	1669	2714	2128	1472	K02871
K02872	0	2	0	0	1	0	0	K02872
K02873	0	0	0	1	0	0	0	K02873
K02874	463	420	1039	1131	1811	1451	997	K02874
K02875	0	0	1	0	0	0	0	K02875
K02876	572	584	1391	1619	2830	2092	1450	K02876
K02877	5	2	1	0	1	1	0	K02877
K02878	503	466	1090	1248	2085	1579	1068	K02878
K02879	665	642	1556	1767	3070	2330	1560	K02879
K02880	0	0	0	1	0	0	0	K02880
K02881	556	525	1209	1397	2418	1876	1244	K02881
K02882	0	2	1	0	1	1	0	K02882
K02883	2	1	3	1	0	0	1	K02883
K02884	673	648	1591	1815	3112	2335	1573	K02884
K02885	3	0	3	0	2	1	0	K02885
K02886	426	414	1056	1088	1744	1275	914	K02886
K02887	620	628	1479	1690	3004	2305	1536	K02887
K02888	619	605	1510	1690	2826	2153	1460	K02888
K02889	2	0	2	0	2	0	0	K02889
K02890	433	440	1014	1176	1932	1465	993	K02890
K02891	0	0	3	1	0	0	0	K02891
K02892	438	476	1097	1229	2092	1585	1059	K02892
K02893	0	0	1	0	0	0	0	K02893
K02895	395	433	1089	1177	2035	1492	1011	K02895
K02896	4	1	1	2	2	1	1	K02896
K02897	742	682	1681	1927	3627	2852	1866	K02897
K02899	501	514	1322	1503	2423	1869	1322	K02899
K02901	0	0	1	0	2	0	0	K02901
K02902	499	523	1359	1559	2410	1854	1257	K02902
K02904	304	345	812	934	1722	1299	861	K02904
K02906	540	570	1329	1535	2592	2040	1410	K02906
K02907	437	448	1015	1151	2035	1485	1068	K02907
K02908	1	0	0	0	0	1	0	K02908
K02909	580	603	1458	1632	2769	2041	1393	K02909
K02910	3	4	4	2	2	2	2	K02910
K02911	349	400	1009	1136	1759	1385	947	K02911
K02912	0	0	2	1	4	4	1	K02912
K02913	444	461	1197	1315	2052	1482	970	K02913
K02914	273	315	753	898	1385	1015	718	K02914
K02915	0	0	2	0	0	0	0	K02915
K02916	476	491	1217	1309	2235	1736	1199	K02916
K02917	1	0	1	0	0	0	0	K02917
K02919	324	314	790	941	1451	1120	722	K02919
K02920	0	1	1	0	0	0	0	K02920
K02921	3	1	0	0	0	0	0	"large subunit ribosomal protein L37Ae"
K02922	2	0	2	0	0	0	0	K02922
K02923	0	0	0	0	1	1	0	K02923
K02924	2	1	1	0	0	0	1	K02924
K02925	0	0	1	0	0	0	0	K02925
K02926	551	543	1297	1500	2582	1927	1324	K02926
K02927	0	0	1	0	0	0	0	K02927
K02929	3	1	2	0	2	3	5	K02929
K02930	4	5	8	4	12	9	7	K02930
K02931	599	587	1337	1502	2528	1937	1370	K02931
K02932	1	0	2	0	0	0	0	K02932
K02933	480	485	1200	1383	2280	1787	1198	K02933
K02934	1	0	1	0	1	0	0	K02934
K02935	656	629	1587	1768	3043	2236	1540	K02935
K02936	1	2	1	1	1	0	1	K02936
K02937	0	0	1	0	1	0	0	K02937
K02938	0	1	0	0	0	0	0	"large subunit ribosomal protein L8e"
K02939	554	543	1353	1543	2792	2222	1440	K02939
K02941	0	0	1	0	0	0	0	K02941
K02943	0	0	2	0	0	0	0	K02943
K02944	2	1	0	0	0	0	0	"large subunit ribosomal protein LX"
K02945	762	759	1925	2156	3743	2906	1973	K02945
K02946	496	418	1005	1078	1716	1369	985	K02946
K02947	0	0	1	0	0	0	0	K02947
K02948	447	408	928	1039	1645	1234	889	K02948
K02949	1	1	0	0	0	0	0	"small subunit ribosomal protein S11e"
K02950	540	493	1142	1321	2083	1615	1142	K02950
K02951	1	0	1	0	0	0	0	K02951
K02952	399	416	961	1017	1659	1274	856	K02952
K02954	455	469	1056	1180	2061	1543	1081	K02954
K02956	539	573	1464	1637	2785	2114	1503	K02956
K02958	0	0	1	1	0	0	0	K02958
K02959	563	570	1396	1607	2835	2112	1493	K02959
K02961	413	448	1070	1188	1974	1492	995	K02961
K02962	1	3	0	0	4	4	0	K02962
K02963	369	370	879	969	1537	1157	851	K02963
K02965	421	406	956	990	1598	1250	863	K02965
K02966	3	1	2	0	1	1	0	K02966
K02967	628	606	1460	1594	2685	2121	1489	K02967
K02968	537	607	1523	1715	2859	2116	1480	K02968
K02969	1	0	0	0	1	0	0	K02969
K02970	331	422	1071	1293	2012	1578	1081	K02970
K02973	0	0	1	0	0	0	0	K02973
K02974	3	2	3	0	2	0	2	K02974
K02975	2	2	4	2	2	1	2	K02975
K02976	0	0	1	0	0	0	0	K02976
K02977	1	0	1	1	0	0	0	K02977
K02978	1	0	2	0	0	0	0	K02978
K02979	3	1	1	0	1	1	1	K02979
K02981	0	0	1	0	0	0	0	K02981
K02982	607	532	1218	1406	2368	1818	1297	K02982
K02984	3	6	5	2	11	10	6	K02984
K02985	0	1	1	0	1	0	0	K02985
K02986	586	547	1364	1503	2560	1948	1336	K02986
K02987	3	2	7	4	10	9	5	K02987
K02988	365	368	873	967	1567	1149	781	K02988
K02990	440	474	1185	1229	2045	1564	1112	K02990
K02991	2	0	2	0	1	1	0	K02991
K02992	472	411	907	1051	1778	1360	941	K02992
K02993	0	1	5	1	0	0	0	K02993
K02994	481	514	1162	1384	2351	1786	1274	K02994
K02995	3	2	0	1	3	1	1	K02995
K02996	435	449	1130	1285	2049	1537	1083	K02996
K02997	0	0	2	0	1	0	0	K02997
K02998	1	0	0	0	0	0	0	K02998
K03004	1	0	1	0	0	0	0	K03004
K03009	0	0	1	0	0	0	0	K03009
K03012	1	0	2	0	0	0	0	K03012
K03013	0	0	2	0	0	0	0	K03013
K03014	0	0	1	0	0	0	0	K03014
K03016	0	0	1	0	0	0	0	K03016
K03017	0	0	0	1	0	0	0	K03017
K03019	1	0	0	0	0	0	0	K03019
K03023	0	0	2	0	0	0	0	K03023
K03024	0	0	1	0	0	0	0	K03024
K03025	1	0	0	0	0	0	0	K03025
K03026	1	0	1	0	0	0	0	K03026
K03027	0	1	0	0	0	0	0	"DNA-directed RNA polymerases I and III subunit RPAC1"
K03028	0	0	2	0	0	0	0	K03028
K03029	0	2	2	0	0	0	0	K03029
K03030	0	0	1	0	0	0	0	K03030
K03032	1	0	2	0	0	0	0	K03032
K03033	1	0	1	0	1	0	0	K03033
K03035	1	0	1	0	0	0	0	K03035
K03039	1	1	1	0	0	0	0	K03039
K03040	1087	906	2128	2468	4480	3528	2426	K03040
K03041	2	3	2	2	7	6	5	K03041
K03042	1	2	3	3	4	5	3	K03042
K03043	196	208	437	405	509	288	190	K03043
K03046	149	158	317	293	370	195	125	K03046
K03047	1	2	2	1	5	6	4	K03047
K03048	0	1	2	1	0	0	0	K03048
K03049	3	4	4	5	9	6	8	K03049
K03050	3	0	0	0	0	0	0	K03050
K03051	2	2	2	1	6	5	5	K03051
K03053	0	2	2	2	0	0	1	K03053
K03058	3	0	0	0	0	1	1	K03058
K03060	407	448	1216	1437	2393	1849	1190	K03060
K03070	556	592	1434	1535	2331	1607	1094	K03070
K03071	125	148	444	557	960	739	483	K03071
K03072	49	71	223	249	320	197	132	K03072
K03073	467	520	1233	1320	2420	1822	1220	K03073
K03074	95	133	376	385	558	364	223	K03074
K03075	471	515	1315	1521	2608	1877	1254	K03075
K03076	345	431	1071	1114	1699	1230	794	K03076
K03077	85	119	287	238	248	153	86	K03077
K03078	0	0	0	0	1	0	0	K03078
K03079	121	159	438	407	482	342	207	K03079
K03086	140	149	373	320	306	191	124	K03086
K03087	4	6	13	8	4	2	4	K03087
K03088	9383	10686	30081	33083	60318	41990	27117	K03088
K03089	72	88	248	273	428	271	198	K03089
K03090	109	131	264	163	215	97	66	K03090
K03091	8	12	22	8	4	2	0	K03091
K03092	640	683	1804	2214	4163	3211	2232	K03092
K03093	10	10	31	21	21	7	10	K03093
K03094	4	1	3	1	2	0	0	K03094
K03095	7	5	18	12	12	9	9	K03095
K03097	0	0	1	0	0	0	0	K03097
K03098	12	11	90	115	214	157	107	K03098
K03100	829	1034	2571	2691	3988	2714	1808	K03100
K03101	731	736	1909	2231	4256	3217	2096	K03101
K03104	0	0	1	0	0	0	0	K03104
K03105	2	0	2	1	2	3	2	K03105
K03106	248	291	703	716	1079	712	484	K03106
K03107	1	0	3	0	0	0	0	K03107
K03108	0	0	1	0	0	1	1	K03108
K03110	260	284	734	810	1258	830	558	K03110
K03111	1544	1412	3574	3492	5130	3509	2345	K03111
K03112	0	0	0	1	5	5	3	K03112
K03113	30	42	141	186	447	364	220	K03113
K03115	2	0	1	0	0	0	0	K03115
K03116	623	772	2115	2362	3723	2620	1832	K03116
K03117	134	161	453	592	976	651	450	K03117
K03118	852	784	2003	2344	4513	3416	2202	K03118
K03119	43	56	174	170	172	117	74	K03119
K03120	12	10	13	6	14	9	9	K03120
K03123	0	0	1	0	0	0	0	K03123
K03124	24	33	37	31	80	68	68	K03124
K03126	1	1	0	0	0	0	0	"transcription initiation factor TFIID subunit 12"
K03127	1	0	0	0	0	0	0	K03127
K03130	5	5	14	7	10	4	3	K03130
K03131	1	0	4	1	0	1	0	K03131
K03132	1	0	0	0	0	0	0	K03132
K03133	1	0	0	0	0	0	0	K03133
K03135	0	0	3	0	0	0	0	K03135
K03136	2	4	5	5	8	8	7	K03136
K03137	0	0	1	0	0	0	0	K03137
K03139	1	0	2	0	1	0	0	K03139
K03142	0	0	0	0	1	0	0	K03142
K03143	1	0	1	0	0	0	0	K03143
K03144	1	0	2	0	0	0	0	K03144
K03145	0	0	1	0	0	0	0	K03145
K03147	119	118	279	275	354	217	149	K03147
K03148	0	0	1	0	0	1	0	K03148
K03149	455	410	1065	1238	2118	1597	1042	K03149
K03150	22	24	90	115	181	114	62	K03150
K03151	75	72	158	176	644	659	441	K03151
K03152	0	3	0	3	43	35	29	K03152
K03153	114	141	337	284	358	221	140	K03153
K03154	370	368	966	1056	1786	1303	808	K03154
K03163	4	5	9	6	12	14	8	K03163
K03164	3	2	3	0	0	0	0	K03164
K03166	6	7	21	29	66	49	37	K03166
K03167	11	10	36	49	137	105	77	K03167
K03168	180	231	586	576	795	492	305	K03168
K03169	12	23	102	103	110	63	33	K03169
K03177	297	351	991	1068	1716	1107	726	K03177
K03179	173	222	671	765	1201	782	538	K03179
K03181	4	8	29	34	57	48	37	K03181
K03182	78	130	346	315	406	257	156	K03182
K03183	163	208	613	643	896	579	368	K03183
K03184	1	1	1	0	0	0	0	K03184
K03185	23	34	113	140	143	68	25	K03185
K03186	383	382	1054	1187	1986	1505	995	K03186
K03187	61	61	209	293	668	504	292	K03187
K03188	123	117	392	490	1144	788	513	K03188
K03189	103	104	334	410	778	622	359	K03189
K03190	113	120	359	472	1003	770	472	K03190
K03192	14	27	155	238	461	329	189	K03192
K03194	60	50	146	104	92	41	22	K03194
K03195	23	23	101	103	67	29	13	K03195
K03196	36	22	105	96	72	23	13	K03196
K03197	40	35	140	178	164	91	37	K03197
K03198	34	41	136	140	137	80	30	K03198
K03199	16	18	58	51	33	10	4	K03199
K03200	34	31	75	48	64	27	15	K03200
K03201	46	50	137	149	112	48	26	K03201
K03202	5	0	12	14	10	8	2	K03202
K03203	28	21	75	68	61	34	12	K03203
K03204	24	30	101	82	66	25	11	K03204
K03205	609	545	1201	810	711	385	167	K03205
K03206	0	0	1	0	0	0	1	K03206
K03207	1	2	7	11	19	8	8	K03207
K03208	119	183	549	548	667	363	218	K03208
K03210	386	425	1137	1383	2601	2021	1333	K03210
K03212	0	1	4	1	3	5	1	K03212
K03214	6	5	13	12	28	15	6	K03214
K03215	106	171	432	395	571	333	220	K03215
K03216	146	157	523	708	1359	1047	699	K03216
K03217	457	520	1298	1481	2571	1947	1325	K03217
K03218	240	265	706	729	1098	695	454	K03218
K03219	0	0	4	3	2	2	0	K03219
K03220	1	0	10	14	13	7	4	K03220
K03221	0	2	5	2	4	2	1	K03221
K03222	0	2	13	15	19	17	6	K03222
K03223	0	0	13	10	16	10	3	K03223
K03224	0	0	3	5	8	4	0	K03224
K03225	6	6	38	31	44	14	5	K03225
K03226	0	1	19	17	36	12	4	K03226
K03227	1	2	10	10	16	14	5	K03227
K03228	0	1	15	12	14	9	3	K03228
K03229	0	0	4	6	5	4	3	K03229
K03230	0	0	7	4	4	4	1	K03230
K03231	2	3	4	2	9	7	4	K03231
K03236	1	0	1	2	0	0	0	K03236
K03237	5	3	5	4	10	6	8	K03237
K03238	2	1	1	0	1	2	0	K03238
K03242	5	5	7	7	11	11	8	K03242
K03243	3	8	9	4	14	13	11	K03243
K03245	1	0	1	0	0	0	0	K03245
K03247	0	1	0	0	0	0	0	"translation initiation factor 3 subunit H"
K03248	0	0	1	0	0	0	0	K03248
K03251	1	0	0	0	0	0	0	K03251
K03252	1	1	1	0	0	0	0	K03252
K03254	0	0	0	1	0	0	0	K03254
K03255	0	1	0	0	0	0	0	"protein TIF31"
K03256	0	0	2	0	0	0	0	K03256
K03259	2	1	5	2	1	0	0	K03259
K03260	0	0	3	0	0	0	0	K03260
K03262	0	0	2	0	0	0	0	K03262
K03263	1	0	3	1	1	0	1	K03263
K03264	5	3	7	4	11	6	6	K03264
K03265	12	8	16	21	55	49	48	K03265
K03269	113	128	458	589	1228	830	627	K03269
K03270	126	162	497	541	971	646	431	K03270
K03271	541	549	1367	1434	2132	1498	991	K03271
K03272	68	81	161	133	80	36	15	K03272
K03273	282	355	901	913	1372	904	611	K03273
K03274	98	108	293	272	345	232	147	K03274
K03281	308	376	961	807	537	164	77	K03281
K03282	641	727	2073	2277	3547	2572	1664	K03282
K03284	198	287	901	1118	2432	1840	1329	K03284
K03285	3	1	23	17	1	0	0	K03285
K03286	231	382	1443	1836	3875	2554	1915	K03286
K03288	1	2	37	33	17	6	2	K03288
K03290	3	4	2	2	2	2	1	K03290
K03291	9	10	33	23	12	7	6	K03291
K03292	12	24	70	58	72	44	31	K03292
K03293	1	2	1	0	0	0	0	K03293
K03294	118	192	559	594	657	397	232	K03294
K03296	28	65	212	233	317	155	127	K03296
K03297	7	11	56	75	187	138	91	K03297
K03298	6	15	41	40	84	31	21	K03298
K03299	131	128	359	499	1239	897	567	K03299
K03300	9	24	109	138	324	268	165	K03300
K03301	94	167	514	843	2842	2449	1792	K03301
K03303	354	400	1178	1434	2416	1740	1104	K03303
K03304	3	2	18	15	26	13	7	K03304
K03305	47	90	386	497	854	526	355	K03305
K03306	83	136	428	446	630	343	200	K03306
K03307	133	217	669	626	781	423	304	K03307
K03308	1	2	10	10	36	31	23	K03308
K03309	2	3	3	12	66	61	47	K03309
K03310	2	4	13	16	100	105	91	K03310
K03311	0	1	3	1	2	1	0	K03311
K03312	5	13	33	43	248	320	245	K03312
K03313	240	250	696	959	2562	2032	1349	K03313
K03314	0	0	0	0	6	2	4	K03314
K03315	2	4	15	29	91	78	51	K03315
K03316	43	46	169	148	143	51	21	K03316
K03317	12	34	144	142	129	84	40	K03317
K03319	0	4	32	42	125	81	74	K03319
K03320	725	787	2194	2702	4164	2813	1792	K03320
K03321	11	30	205	270	441	252	159	K03321
K03322	76	110	350	308	333	131	77	K03322
K03324	63	72	237	286	450	333	225	K03324
K03325	217	206	744	800	951	552	361	K03325
K03326	2	3	12	12	10	11	5	K03326
K03327	139	204	736	829	1392	897	621	K03327
K03328	13	19	71	79	87	61	41	K03328
K03329	0	0	3	3	2	0	0	K03329
K03330	2	1	5	4	8	7	4	K03330
K03331	8	10	38	26	26	20	10	K03331
K03332	25	36	102	78	75	40	24	K03332
K03333	31	36	142	140	201	109	76	K03333
K03335	227	238	697	716	1266	897	539	K03335
K03336	32	35	98	109	183	107	70	K03336
K03337	105	123	325	344	788	622	399	K03337
K03338	24	30	87	124	212	148	108	K03338
K03339	0	0	1	0	0	0	0	K03339
K03340	0	0	0	1	2	1	0	K03340
K03342	15	15	50	50	87	64	51	K03342
K03343	3	3	6	2	2	0	0	K03343
K03346	0	2	4	0	0	0	0	K03346
K03348	1	0	3	0	0	0	0	K03348
K03350	2	1	4	5	4	3	1	K03350
K03352	0	0	1	0	0	0	0	K03352
K03353	0	0	0	2	1	1	0	K03353
K03355	1	0	0	0	0	0	0	K03355
K03357	0	0	1	0	0	0	0	K03357
K03359	0	0	1	0	0	0	0	K03359
K03363	0	0	1	0	2	2	1	K03363
K03365	90	94	286	328	588	408	289	K03365
K03366	14	13	34	30	53	29	24	K03366
K03367	8	10	66	57	73	26	19	K03367
K03372	1	0	0	0	0	0	0	K03372
K03377	0	0	3	0	0	0	0	K03377
K03379	56	57	184	155	135	66	30	K03379
K03380	14	10	39	40	54	28	21	K03380
K03381	7	4	21	20	30	11	12	K03381
K03382	0	0	0	0	1	1	0	K03382
K03383	2	2	9	9	15	11	4	K03383
K03385	9	26	56	94	399	421	354	K03385
K03386	26	29	67	69	152	132	83	K03386
K03387	5	6	28	21	32	23	5	K03387
K03388	0	0	2	3	5	3	0	K03388
K03389	3	6	14	10	15	6	4	K03389
K03390	1	0	23	27	36	20	15	K03390
K03392	120	173	504	582	942	678	450	K03392
K03394	86	83	207	174	182	108	52	K03394
K03395	27	29	58	76	204	145	111	K03395
K03396	42	58	133	162	328	259	169	K03396
K03399	2	4	5	8	6	5	6	K03399
K03402	384	357	859	1040	1964	1586	1031	K03402
K03403	0	0	1	0	3	0	0	K03403
K03404	17	21	48	24	33	12	11	K03404
K03405	186	204	466	411	593	382	278	K03405
K03406	985	1143	4120	4975	8127	5306	3035	K03406
K03407	57	98	346	330	322	128	79	K03407
K03408	137	187	715	817	1143	670	419	K03408
K03409	77	111	347	337	317	180	84	K03409
K03410	44	47	164	211	405	286	197	K03410
K03411	69	88	313	410	739	488	287	K03411
K03412	233	319	1273	1367	1847	1024	634	K03412
K03413	153	188	640	690	842	537	275	K03413
K03414	42	45	178	200	285	169	101	K03414
K03415	2	1	17	16	22	12	9	K03415
K03416	0	0	15	15	9	0	0	K03416
K03417	41	45	135	151	166	91	49	K03417
K03424	693	682	1701	1928	3721	2665	1678	K03424
K03426	309	267	660	701	1282	895	586	K03426
K03427	1161	947	2279	1784	2415	1415	827	K03427
K03428	1	0	4	2	8	4	1	K03428
K03429	27	36	88	71	126	63	48	K03429
K03430	21	30	99	123	216	141	97	K03430
K03431	121	168	448	443	610	368	241	K03431
K03432	53	52	99	94	166	120	90	K03432
K03433	67	63	142	150	239	169	108	K03433
K03434	0	1	1	0	0	0	0	K03434
K03435	2	4	3	7	13	7	3	K03435
K03436	41	41	98	104	106	40	23	K03436
K03437	146	213	531	537	721	439	310	K03437
K03438	168	204	622	625	901	539	342	K03438
K03439	163	182	572	757	1379	961	623	K03439
K03441	0	1	3	2	3	3	4	K03441
K03442	8	16	93	122	241	152	100	K03442
K03445	0	0	0	0	1	1	0	K03445
K03446	459	611	1566	1340	1104	486	205	K03446
K03448	0	0	1	0	0	0	0	K03448
K03449	150	156	296	247	283	145	83	K03449
K03453	3	2	16	21	44	36	30	K03453
K03455	273	365	1296	1790	4320	3555	2556	K03455
K03456	1	0	0	0	1	0	0	K03456
K03457	142	195	506	580	1109	806	570	K03457
K03462	11	14	43	34	50	23	9	K03462
K03464	53	45	175	156	187	95	40	K03464
K03465	376	352	803	799	1243	909	635	K03465
K03466	1670	1400	3339	3781	6892	5052	3501	K03466
K03469	320	316	901	967	1627	1156	773	K03469
K03470	443	466	1242	1362	2388	1753	1193	K03470
K03471	3	3	33	42	54	33	19	K03471
K03472	0	0	1	0	2	1	0	K03472
K03473	1	0	2	2	4	6	4	K03473
K03474	193	235	714	1022	2283	1849	1222	K03474
K03475	2	2	11	8	8	5	5	K03475
K03480	0	0	1	0	0	0	0	K03480
K03483	0	0	1	0	0	0	0	K03483
K03486	0	0	1	0	0	1	0	K03486
K03489	0	0	1	0	0	0	0	K03489
K03490	1	1	6	0	1	0	0	K03490
K03491	0	0	1	1	1	0	0	K03491
K03495	180	231	697	780	1240	769	536	K03495
K03496	927	965	2529	2540	4287	3075	2086	K03496
K03497	1650	1450	3822	3696	5778	4079	2562	K03497
K03498	20	22	37	43	197	219	223	K03498
K03499	245	257	569	449	670	468	345	K03499
K03500	146	190	600	654	905	524	342	K03500
K03501	606	575	1474	1630	2700	1917	1240	K03501
K03502	8	10	52	44	66	25	16	K03502
K03503	25	24	89	95	170	91	85	K03503
K03505	0	0	1	0	0	0	0	K03505
K03507	0	1	0	0	0	0	0	"DNA replication regulator DPB11"
K03516	0	0	0	2	1	0	0	K03516
K03517	515	523	1362	1618	2818	2172	1503	K03517
K03518	395	431	1149	1211	1822	1285	885	K03518
K03519	284	361	937	950	1456	1002	613	K03519
K03520	184	291	713	621	623	371	197	K03520
K03521	926	784	2000	2316	4106	3003	2006	K03521
K03522	947	804	2088	2348	4379	3202	2069	K03522
K03523	144	155	390	483	999	838	525	K03523
K03524	249	322	841	893	1436	865	577	K03524
K03525	675	615	1562	1834	3415	2437	1593	K03525
K03526	996	808	2056	2352	4037	3270	2214	K03526
K03527	1147	982	2462	2777	4861	3733	2464	K03527
K03528	25	28	53	61	142	101	70	K03528
K03529	58	104	268	253	271	163	86	K03529
K03530	198	276	764	859	1438	1038	791	K03530
K03531	733	659	1657	1819	3256	2371	1616	K03531
K03532	0	0	2	1	0	0	0	K03532
K03533	0	0	2	1	0	0	0	K03533
K03534	316	317	740	804	1300	929	548	K03534
K03535	13	12	25	10	8	1	3	K03535
K03536	538	540	1315	1452	2591	1843	1271	K03536
K03538	2	3	2	2	2	2	1	K03538
K03539	1	1	2	0	0	0	0	K03539
K03540	2	0	2	0	0	1	0	K03540
K03543	199	282	821	773	710	272	105	K03543
K03544	815	706	1771	1971	3264	2527	1718	K03544
K03545	896	884	2206	2630	4999	3931	2577	K03545
K03546	96	93	231	196	291	157	110	K03546
K03547	146	143	365	285	392	210	140	K03547
K03548	1	5	11	7	10	4	4	K03548
K03549	355	447	1310	1732	3487	2694	1860	K03549
K03550	713	643	1601	1771	3398	2485	1604	K03550
K03551	663	641	1587	1788	3188	2395	1597	K03551
K03552	3	3	15	9	19	3	8	K03552
K03553	1099	944	2341	2512	4189	3051	2024	K03553
K03554	40	31	96	117	229	148	79	K03554
K03555	97	155	389	381	494	259	173	K03555
K03556	444	550	1488	1251	1971	984	732	K03556
K03557	21	28	89	132	246	175	145	K03557
K03558	382	400	1064	1165	1673	1153	729	K03558
K03559	1162	1323	3799	4832	9980	7636	4931	K03559
K03560	58	68	163	187	262	183	116	K03560
K03561	783	809	2400	3075	6117	4657	3143	K03561
K03562	54	67	198	214	292	200	112	K03562
K03563	376	463	1121	1141	1537	1250	738	K03563
K03564	424	514	1317	1386	2283	1574	1063	K03564
K03565	423	441	1090	1176	2165	1543	987	K03565
K03566	130	197	720	908	1435	896	535	K03566
K03567	44	38	101	98	256	170	113	K03567
K03568	221	247	668	715	1100	680	470	K03568
K03569	997	924	2366	2629	4967	3866	2784	K03569
K03570	479	526	1318	1598	3148	2254	1539	K03570
K03571	312	358	957	1129	2059	1466	1021	K03571
K03572	102	151	442	449	608	367	231	K03572
K03573	13	9	15	14	75	33	24	K03573
K03574	894	974	2701	2750	4777	3155	2077	K03574
K03575	419	429	1230	1328	2194	1493	950	K03575
K03576	2	8	47	63	195	155	115	K03576
K03577	1	1	15	25	50	30	23	K03577
K03578	43	45	102	103	144	76	53	K03578
K03579	28	42	157	177	213	116	57	K03579
K03580	59	50	103	76	112	54	30	K03580
K03581	138	147	358	277	306	139	93	K03581
K03582	19	21	48	32	41	15	9	K03582
K03583	103	93	176	169	336	158	107	K03583
K03584	765	719	1783	2168	3825	2886	1890	K03584
K03585	373	626	2092	2388	3211	1851	1089	K03585
K03586	76	90	202	247	619	492	350	K03586
K03587	114	169	495	480	593	370	233	K03587
K03588	127	160	409	369	546	311	225	K03588
K03589	469	496	1220	1436	2660	1877	1222	K03589
K03590	420	498	1259	1472	2638	2029	1438	K03590
K03591	8	10	22	35	77	59	43	K03591
K03592	116	162	459	507	637	349	227	K03592
K03593	815	734	1842	2094	3936	2957	2039	K03593
K03594	313	352	991	1217	2196	1729	1182	K03594
K03595	296	344	960	1137	2037	1472	993	K03595
K03596	78	108	269	226	229	126	79	K03596
K03597	25	28	84	97	246	198	141	K03597
K03598	35	45	138	148	402	291	236	K03598
K03599	30	33	85	98	202	160	131	K03599
K03600	44	45	124	181	410	294	236	K03600
K03601	912	794	1951	2313	4375	3202	2024	K03601
K03602	537	542	1382	1504	2715	2025	1271	K03602
K03603	0	0	0	0	1	0	0	K03603
K03605	137	141	426	408	461	302	180	K03605
K03606	0	0	1	3	7	4	1	K03606
K03607	5	7	39	49	76	52	30	K03607
K03608	112	104	267	241	393	241	126	K03608
K03609	64	73	186	127	163	89	52	K03609
K03610	145	122	335	332	549	349	183	K03610
K03611	86	89	319	395	675	517	318	K03611
K03612	0	4	13	30	76	42	35	K03612
K03613	0	3	21	38	57	28	23	K03613
K03614	0	4	9	28	72	29	20	K03614
K03615	5	10	72	121	218	120	83	K03615
K03616	38	42	95	145	346	225	164	K03616
K03617	0	0	2	3	14	10	7	K03617
K03618	0	0	3	9	29	24	13	K03618
K03619	0	0	2	4	19	10	4	K03619
K03620	20	44	201	218	298	201	133	K03620
K03621	702	600	1580	1830	3442	2579	1811	K03621
K03622	4	2	1	0	1	1	0	K03622
K03623	19	29	84	124	223	162	120	K03623
K03624	228	267	750	756	1020	686	427	K03624
K03625	396	452	1188	1326	2277	1614	1070	K03625
K03626	3	6	7	4	12	11	8	K03626
K03627	2	2	13	8	9	4	3	K03627
K03628	601	591	1414	1594	2810	2148	1565	K03628
K03629	380	420	1006	1174	2148	1351	909	K03629
K03630	685	598	1631	1886	3796	2715	1755	K03630
K03631	576	552	1573	1792	3093	2231	1484	K03631
K03632	0	0	0	1	0	0	0	K03632
K03633	0	0	0	1	4	1	0	K03633
K03634	278	383	1056	1284	2222	1659	1119	K03634
K03635	574	543	1361	1531	2722	1974	1313	K03635
K03636	1218	1268	3013	3254	5511	3961	2622	K03636
K03637	604	538	1371	1601	2794	2009	1342	K03637
K03638	71	89	295	410	765	603	376	K03638
K03639	617	592	1522	1688	3005	2288	1472	K03639
K03640	166	201	669	856	1543	1176	823	K03640
K03641	339	541	2037	2843	6406	4830	3431	K03641
K03642	660	674	1818	2131	2968	1917	1189	K03642
K03643	146	198	533	641	1006	721	476	K03643
K03644	902	796	2009	2355	4172	3212	2136	K03644
K03645	0	0	0	1	1	0	0	K03645
K03646	13	13	40	61	112	81	58	K03646
